State,Measures,Year,Number of Records,Values
Tennessee,Highway Fatalities,2020,1,1217
Texas,Highway Fatalities,2020,1,3874
Utah,Highway Fatalities,2020,1,276
Vermont,Highway Fatalities,2020,1,62
Virginia,Highway Fatalities,2020,1,850
Washington,Highway Fatalities,2020,1,560
West Virginia,Highway Fatalities,2020,1,267
Wisconsin,Highway Fatalities,2020,1,614
Wyoming,Highway Fatalities,2020,1,127
United States,Highway Fatalities,2020,1,39066
Alabama,Highway vehicle-miles traveled (millions),2010,1,64165.14864
Alaska,Highway vehicle-miles traveled (millions),2010,1,4798.261974
Arizona,Highway vehicle-miles traveled (millions),2010,1,59995.1587
Arkansas,Highway vehicle-miles traveled (millions),2010,1,33504.42526
California,Highway vehicle-miles traveled (millions),2010,1,322849.3982
Colorado,Highway vehicle-miles traveled (millions),2010,1,46939.92729
Connecticut,Highway vehicle-miles traveled (millions),2010,1,31294.41665
Delaware,Highway vehicle-miles traveled (millions),2010,1,8947.67132
District of Columbia,Highway vehicle-miles traveled (millions),2010,1,3590.818444
Florida,Highway vehicle-miles traveled (millions),2010,1,195754.7133
Georgia,Highway vehicle-miles traveled (millions),2010,1,111722.467
Hawaii,Highway vehicle-miles traveled (millions),2010,1,9994.649305
Idaho,Highway vehicle-miles traveled (millions),2010,1,15801.20628
Illinois,Highway vehicle-miles traveled (millions),2010,1,105787.8524
Indiana,Highway vehicle-miles traveled (millions),2010,1,75760.50984
Iowa,Highway vehicle-miles traveled (millions),2010,1,31388.61561
Kansas,Highway vehicle-miles traveled (millions),2010,1,29899.65838
Kentucky,Highway vehicle-miles traveled (millions),2010,1,48006.7429
Louisiana,Highway vehicle-miles traveled (millions),2010,1,45438.69082
Maine,Highway vehicle-miles traveled (millions),2010,1,14549.3831
Maryland,Highway vehicle-miles traveled (millions),2010,1,56125.52196
Massachusetts,Highway vehicle-miles traveled (millions),2010,1,54361.98633
Michigan,Highway vehicle-miles traveled (millions),2010,1,97567.36027
Minnesota,Highway vehicle-miles traveled (millions),2010,1,56631.67446
Mississippi,Highway vehicle-miles traveled (millions),2010,1,39841.02978
Missouri,Highway vehicle-miles traveled (millions),2010,1,70863.99668
Montana,Highway vehicle-miles traveled (millions),2010,1,11189.80595
Nebraska,Highway vehicle-miles traveled (millions),2010,1,19437.95166
Nevada,Highway vehicle-miles traveled (millions),2010,1,22201.41949
New Hampshire,Highway vehicle-miles traveled (millions),2010,1,13065.22025
New Jersey,Highway vehicle-miles traveled (millions),2010,1,73027.65919
New Mexico,Highway vehicle-miles traveled (millions),2010,1,25273.67897
New York,Highway vehicle-miles traveled (millions),2010,1,131252.0615
North Carolina,Highway vehicle-miles traveled (millions),2010,1,102384.9676
North Dakota,Highway vehicle-miles traveled (millions),2010,1,8262.258786
Ohio,Highway vehicle-miles traveled (millions),2010,1,111835.7316
Oklahoma,Highway vehicle-miles traveled (millions),2010,1,47745.91733
Oregon,Highway vehicle-miles traveled (millions),2010,1,33774.10556
Pennsylvania,Highway vehicle-miles traveled (millions),2010,1,100328.7123
Puerto Rico,Highway vehicle-miles traveled (millions),2010,1,18588.355
Rhode Island,Highway vehicle-miles traveled (millions),2010,1,8280.220439
South Carolina,Highway vehicle-miles traveled (millions),2010,1,49124.3352
South Dakota,Highway vehicle-miles traveled (millions),2010,1,8865.980485
Tennessee,Highway vehicle-miles traveled (millions),2010,1,70438.82433
Texas,Highway vehicle-miles traveled (millions),2010,1,234015.906
United States,Highway vehicle-miles traveled (millions),2010,1,2985854.322
Utah,Highway vehicle-miles traveled (millions),2010,1,26585.22215
Vermont,Highway vehicle-miles traveled (millions),2010,1,7247.55584
Virginia,Highway vehicle-miles traveled (millions),2010,1,82170.61428
Washington,Highway vehicle-miles traveled (millions),2010,1,57190.44282
West Virginia,Highway vehicle-miles traveled (millions),2010,1,19203.03357
Wisconsin,Highway vehicle-miles traveled (millions),2010,1,59420.26643
Wyoming,Highway vehicle-miles traveled (millions),2010,1,9362.789824
Alabama,Highway vehicle-miles traveled (millions),2011,1,64914.37237
Alaska,Highway vehicle-miles traveled (millions),2011,1,4593.089397
Arizona,Highway vehicle-miles traveled (millions),2011,1,59574.9492
Arkansas,Highway vehicle-miles traveled (millions),2011,1,32952.94952
California,Highway vehicle-miles traveled (millions),2011,1,320783.9054
Colorado,Highway vehicle-miles traveled (millions),2011,1,46606.26373
Connecticut,Highway vehicle-miles traveled (millions),2011,1,31197.24686
Delaware,Highway vehicle-miles traveled (millions),2011,1,9028.172588
District of Columbia,Highway vehicle-miles traveled (millions),2011,1,3568.115084
Florida,Highway vehicle-miles traveled (millions),2011,1,191854.9549
Georgia,Highway vehicle-miles traveled (millions),2011,1,108453.5027
Hawaii,Highway vehicle-miles traveled (millions),2011,1,10066.37931
Idaho,Highway vehicle-miles traveled (millions),2011,1,15936.59932
Illinois,Highway vehicle-miles traveled (millions),2011,1,103234.0169
Indiana,Highway vehicle-miles traveled (millions),2011,1,76485.23088
Iowa,Highway vehicle-miles traveled (millions),2011,1,31274.31114
Kansas,Highway vehicle-miles traveled (millions),2011,1,30021.24703
Kentucky,Highway vehicle-miles traveled (millions),2011,1,48061.31448
Louisiana,Highway vehicle-miles traveled (millions),2011,1,46512.71124
Maine,Highway vehicle-miles traveled (millions),2011,1,14248.22904
Maryland,Highway vehicle-miles traveled (millions),2011,1,56220.50652
Massachusetts,Highway vehicle-miles traveled (millions),2011,1,54791.71248
Michigan,Highway vehicle-miles traveled (millions),2011,1,94754.26973
Minnesota,Highway vehicle-miles traveled (millions),2011,1,56684.71798
Mississippi,Highway vehicle-miles traveled (millions),2011,1,38850.7218
Missouri,Highway vehicle-miles traveled (millions),2011,1,68789.22335
Montana,Highway vehicle-miles traveled (millions),2011,1,11659.59807
Nebraska,Highway vehicle-miles traveled (millions),2011,1,19093.31857
Nevada,Highway vehicle-miles traveled (millions),2011,1,24189.31581
New Hampshire,Highway vehicle-miles traveled (millions),2011,1,12719.52976
New Jersey,Highway vehicle-miles traveled (millions),2011,1,73093.7711
New Mexico,Highway vehicle-miles traveled (millions),2011,1,25650.16525
New York,Highway vehicle-miles traveled (millions),2011,1,127725.6673
North Carolina,Highway vehicle-miles traveled (millions),2011,1,103772.3593
North Dakota,Highway vehicle-miles traveled (millions),2011,1,9130.650273
Ohio,Highway vehicle-miles traveled (millions),2011,1,111989.9482
Oklahoma,Highway vehicle-miles traveled (millions),2011,1,47463.57742
Oregon,Highway vehicle-miles traveled (millions),2011,1,33373.39764
Pennsylvania,Highway vehicle-miles traveled (millions),2011,1,99204.17877
Puerto Rico,Highway vehicle-miles traveled (millions),2011,1,18588.355
Rhode Island,Highway vehicle-miles traveled (millions),2011,1,7901.42839
South Carolina,Highway vehicle-miles traveled (millions),2011,1,48730.17947
South Dakota,Highway vehicle-miles traveled (millions),2011,1,9002.048071
Tennessee,Highway vehicle-miles traveled (millions),2011,1,70751.10387
Texas,Highway vehicle-miles traveled (millions),2011,1,237439.8911
United States,Highway vehicle-miles traveled (millions),2011,1,2963781.977
Utah,Highway vehicle-miles traveled (millions),2011,1,26221.62634
Vermont,Highway vehicle-miles traveled (millions),2011,1,7141.03908
Virginia,Highway vehicle-miles traveled (millions),2011,1,80973.99206
Washington,Highway vehicle-miles traveled (millions),2011,1,56954.57284
West Virginia,Highway vehicle-miles traveled (millions),2011,1,18963.12603
Wisconsin,Highway vehicle-miles traveled (millions),2011,1,58553.70387
Wyoming,Highway vehicle-miles traveled (millions),2011,1,9244.90554
Alabama,Highway vehicle-miles traveled (millions),2012,1,64959.17207
Alaska,Highway vehicle-miles traveled (millions),2012,1,4792.081999
Arizona,Highway vehicle-miles traveled (millions),2012,1,60129.35825
Arkansas,Highway vehicle-miles traveled (millions),2012,1,33522.13681
California,Highway vehicle-miles traveled (millions),2012,1,326271.6506
Colorado,Highway vehicle-miles traveled (millions),2012,1,46768.77109
Connecticut,Highway vehicle-miles traveled (millions),2012,1,31269.36372
Delaware,Highway vehicle-miles traveled (millions),2012,1,9185.73807
District of Columbia,Highway vehicle-miles traveled (millions),2012,1,3571.830096
Florida,Highway vehicle-miles traveled (millions),2012,1,191373.7705
Georgia,Highway vehicle-miles traveled (millions),2012,1,107488.4972
Hawaii,Highway vehicle-miles traveled (millions),2012,1,10049.66346
Idaho,Highway vehicle-miles traveled (millions),2012,1,16314.57164
Illinois,Highway vehicle-miles traveled (millions),2012,1,104578.407
Indiana,Highway vehicle-miles traveled (millions),2012,1,78922.58
Iowa,Highway vehicle-miles traveled (millions),2012,1,31596.24047
Kansas,Highway vehicle-miles traveled (millions),2012,1,30572.47519
Kentucky,Highway vehicle-miles traveled (millions),2012,1,47343.94452
Louisiana,Highway vehicle-miles traveled (millions),2012,1,46889.04026
Maine,Highway vehicle-miles traveled (millions),2012,1,14198.8263
Maryland,Highway vehicle-miles traveled (millions),2012,1,56475.58826
Massachusetts,Highway vehicle-miles traveled (millions),2012,1,55939.71675
Michigan,Highway vehicle-miles traveled (millions),2012,1,94547.98654
Minnesota,Highway vehicle-miles traveled (millions),2012,1,56988.31803
Mississippi,Highway vehicle-miles traveled (millions),2012,1,38667.12981
Missouri,Highway vehicle-miles traveled (millions),2012,1,68503.68445
Montana,Highway vehicle-miles traveled (millions),2012,1,11885.12375
Nebraska,Highway vehicle-miles traveled (millions),2012,1,19276.55085
Nevada,Highway vehicle-miles traveled (millions),2012,1,24148.28844
New Hampshire,Highway vehicle-miles traveled (millions),2012,1,12893.65174
New Jersey,Highway vehicle-miles traveled (millions),2012,1,74225.3757
New Mexico,Highway vehicle-miles traveled (millions),2012,1,25561.64959
New York,Highway vehicle-miles traveled (millions),2012,1,128220.5631
North Carolina,Highway vehicle-miles traveled (millions),2012,1,104949.9412
North Dakota,Highway vehicle-miles traveled (millions),2012,1,10081.49157
Ohio,Highway vehicle-miles traveled (millions),2012,1,112715.1131
Oklahoma,Highway vehicle-miles traveled (millions),2012,1,47871.81167
Oregon,Highway vehicle-miles traveled (millions),2012,1,33172.93743
Pennsylvania,Highway vehicle-miles traveled (millions),2012,1,98884.38578
Puerto Rico,Highway vehicle-miles traveled (millions),2012,1,18588.355
Rhode Island,Highway vehicle-miles traveled (millions),2012,1,7806.872883
South Carolina,Highway vehicle-miles traveled (millions),2012,1,49036.19029
South Dakota,Highway vehicle-miles traveled (millions),2012,1,9113.47146
Tennessee,Highway vehicle-miles traveled (millions),2012,1,71166.87119
Texas,Highway vehicle-miles traveled (millions),2012,1,237835.8227
United States,Highway vehicle-miles traveled (millions),2012,1,2982085.276
Utah,Highway vehicle-miles traveled (millions),2012,1,26527.83436
Vermont,Highway vehicle-miles traveled (millions),2012,1,7215.657792
Virginia,Highway vehicle-miles traveled (millions),2012,1,80958.66779
Washington,Highway vehicle-miles traveled (millions),2012,1,56762.00621
West Virginia,Highway vehicle-miles traveled (millions),2012,1,19225.78561
Wisconsin,Highway vehicle-miles traveled (millions),2012,1,59087.29989
Wyoming,Highway vehicle-miles traveled (millions),2012,1,9270.993558
Alabama,Highway vehicle-miles traveled (millions),2013,1,65046.48393
Alaska,Highway vehicle-miles traveled (millions),2013,1,4848.454772
Arizona,Highway vehicle-miles traveled (millions),2013,1,60586.17136
Arkansas,Highway vehicle-miles traveled (millions),2013,1,33493.27431
California,Highway vehicle-miles traveled (millions),2013,1,329534.133
Colorado,Highway vehicle-miles traveled (millions),2013,1,46968.08474
Connecticut,Highway vehicle-miles traveled (millions),2013,1,30941.1856
Delaware,Highway vehicle-miles traveled (millions),2013,1,9307.81002
District of Columbia,Highway vehicle-miles traveled (millions),2013,1,3527.268919
Florida,Highway vehicle-miles traveled (millions),2013,1,192701.8157
Georgia,Highway vehicle-miles traveled (millions),2013,1,109354.5119
Hawaii,Highway vehicle-miles traveled (millions),2013,1,10099.35059
Idaho,Highway vehicle-miles traveled (millions),2013,1,15980.10637
Illinois,Highway vehicle-miles traveled (millions),2013,1,105297.1041
Indiana,Highway vehicle-miles traveled (millions),2013,1,78311.29441
Iowa,Highway vehicle-miles traveled (millions),2013,1,31641.00166
Kansas,Highway vehicle-miles traveled (millions),2013,1,30208.2842
Kentucky,Highway vehicle-miles traveled (millions),2013,1,46995.99686
Louisiana,Highway vehicle-miles traveled (millions),2013,1,47757.96708
Maine,Highway vehicle-miles traveled (millions),2013,1,14129.25004
Maryland,Highway vehicle-miles traveled (millions),2013,1,56687.63974
Massachusetts,Highway vehicle-miles traveled (millions),2013,1,56311.17282
Michigan,Highway vehicle-miles traveled (millions),2013,1,95131.56498
Minnesota,Highway vehicle-miles traveled (millions),2013,1,56974.04513
Mississippi,Highway vehicle-miles traveled (millions),2013,1,38757.69339
Missouri,Highway vehicle-miles traveled (millions),2013,1,69458.42184
Montana,Highway vehicle-miles traveled (millions),2013,1,12032.72721
Nebraska,Highway vehicle-miles traveled (millions),2013,1,19321.5614
Nevada,Highway vehicle-miles traveled (millions),2013,1,24649.41667
New Hampshire,Highway vehicle-miles traveled (millions),2013,1,12902.81476
New Jersey,Highway vehicle-miles traveled (millions),2013,1,74529.79194
New Mexico,Highway vehicle-miles traveled (millions),2013,1,25086.11077
New York,Highway vehicle-miles traveled (millions),2013,1,129736.7468
North Carolina,Highway vehicle-miles traveled (millions),2013,1,105212.5578
North Dakota,Highway vehicle-miles traveled (millions),2013,1,10099.64871
Ohio,Highway vehicle-miles traveled (millions),2013,1,112766.7288
Oklahoma,Highway vehicle-miles traveled (millions),2013,1,47998.60776
Oregon,Highway vehicle-miles traveled (millions),2013,1,33705.84607
Pennsylvania,Highway vehicle-miles traveled (millions),2013,1,98627.97611
Puerto Rico,Highway vehicle-miles traveled (millions),2013,1,18588.355
Rhode Island,Highway vehicle-miles traveled (millions),2013,1,7775.124822
South Carolina,Highway vehicle-miles traveled (millions),2013,1,48986.25958
South Dakota,Highway vehicle-miles traveled (millions),2013,1,9121.797359
Tennessee,Highway vehicle-miles traveled (millions),2013,1,71067.04361
Texas,Highway vehicle-miles traveled (millions),2013,1,244524.8829
United States,Highway vehicle-miles traveled (millions),2013,1,3001529.023
Utah,Highway vehicle-miles traveled (millions),2013,1,27005.47607
Vermont,Highway vehicle-miles traveled (millions),2013,1,7115.877038
Virginia,Highway vehicle-miles traveled (millions),2013,1,80767.0057
Washington,Highway vehicle-miles traveled (millions),2013,1,57211.21142
West Virginia,Highway vehicle-miles traveled (millions),2013,1,19232.34743
Wisconsin,Highway vehicle-miles traveled (millions),2013,1,59486.15042
Wyoming,Highway vehicle-miles traveled (millions),2013,1,9308.940396
Alabama,Highway vehicle-miles traveled (millions),2014,1,65666.60432
Alaska,Highway vehicle-miles traveled (millions),2014,1,4856.704008
Arizona,Highway vehicle-miles traveled (millions),2014,1,62630.73598
Arkansas,Highway vehicle-miles traveled (millions),2014,1,34023.96012
California,Highway vehicle-miles traveled (millions),2014,1,332857.198
Colorado,Highway vehicle-miles traveled (millions),2014,1,48985.14118
Connecticut,Highway vehicle-miles traveled (millions),2014,1,31190.31408
Delaware,Highway vehicle-miles traveled (millions),2014,1,9596.403603
District of Columbia,Highway vehicle-miles traveled (millions),2014,1,3527.5882
Florida,Highway vehicle-miles traveled (millions),2014,1,201040.4039
Georgia,Highway vehicle-miles traveled (millions),2014,1,111534.8934
Hawaii,Highway vehicle-miles traveled (millions),2014,1,10174.34633
Idaho,Highway vehicle-miles traveled (millions),2014,1,16154.04002
Illinois,Highway vehicle-miles traveled (millions),2014,1,104905.5064
Indiana,Highway vehicle-miles traveled (millions),2014,1,79203.62949
Iowa,Highway vehicle-miles traveled (millions),2014,1,31413.67447
Kansas,Highway vehicle-miles traveled (millions),2014,1,30709.71729
Kentucky,Highway vehicle-miles traveled (millions),2014,1,47940.63478
Louisiana,Highway vehicle-miles traveled (millions),2014,1,48251.73611
Maine,Highway vehicle-miles traveled (millions),2014,1,14301.4973
Maryland,Highway vehicle-miles traveled (millions),2014,1,56431.74512
Massachusetts,Highway vehicle-miles traveled (millions),2014,1,57552.34578
Michigan,Highway vehicle-miles traveled (millions),2014,1,97384.02233
Minnesota,Highway vehicle-miles traveled (millions),2014,1,57394.87165
Mississippi,Highway vehicle-miles traveled (millions),2014,1,39499.19021
Missouri,Highway vehicle-miles traveled (millions),2014,1,70909.03657
Montana,Highway vehicle-miles traveled (millions),2014,1,12157.12895
Nebraska,Highway vehicle-miles traveled (millions),2014,1,19612.58157
Nevada,Highway vehicle-miles traveled (millions),2014,1,25301.90126
New Hampshire,Highway vehicle-miles traveled (millions),2014,1,12970.40852
New Jersey,Highway vehicle-miles traveled (millions),2014,1,74856.38516
New Mexico,Highway vehicle-miles traveled (millions),2014,1,25347.19786
New York,Highway vehicle-miles traveled (millions),2014,1,129263.0117
North Carolina,Highway vehicle-miles traveled (millions),2014,1,108012.1312
North Dakota,Highway vehicle-miles traveled (millions),2014,1,10511.26907
Ohio,Highway vehicle-miles traveled (millions),2014,1,112766.2818
Oklahoma,Highway vehicle-miles traveled (millions),2014,1,47698.78222
Oregon,Highway vehicle-miles traveled (millions),2014,1,34610.07129
Pennsylvania,Highway vehicle-miles traveled (millions),2014,1,99881.53756
Puerto Rico,Highway vehicle-miles traveled (millions),2014,1,14564.42565
Rhode Island,Highway vehicle-miles traveled (millions),2014,1,7676.978023
South Carolina,Highway vehicle-miles traveled (millions),2014,1,49931.2691
South Dakota,Highway vehicle-miles traveled (millions),2014,1,9225.040605
Tennessee,Highway vehicle-miles traveled (millions),2014,1,72335.75425
Texas,Highway vehicle-miles traveled (millions),2014,1,243075.8458
United States,Highway vehicle-miles traveled (millions),2014,1,3034941.523
Utah,Highway vehicle-miles traveled (millions),2014,1,27554.41929
Vermont,Highway vehicle-miles traveled (millions),2014,1,7059.200784
Virginia,Highway vehicle-miles traveled (millions),2014,1,80984.63614
Washington,Highway vehicle-miles traveled (millions),2014,1,58059.8
West Virginia,Highway vehicle-miles traveled (millions),2014,1,19117.49047
Wisconsin,Highway vehicle-miles traveled (millions),2014,1,60053.38039
Wyoming,Highway vehicle-miles traveled (millions),2014,1,9457.283095
Alabama,Highway vehicle-miles traveled (millions),2015,1,67257.00465
Alaska,Highway vehicle-miles traveled (millions),2015,1,5045.390231
Arizona,Highway vehicle-miles traveled (millions),2015,1,65044.85807
Arkansas,Highway vehicle-miles traveled (millions),2015,1,34897.33423
California,Highway vehicle-miles traveled (millions),2015,1,335538.5566
Colorado,Highway vehicle-miles traveled (millions),2015,1,50437.33835
Connecticut,Highway vehicle-miles traveled (millions),2015,1,31591.79366
Delaware,Highway vehicle-miles traveled (millions),2015,1,9930.610378
District of Columbia,Highway vehicle-miles traveled (millions),2015,1,3557.192653
Florida,Highway vehicle-miles traveled (millions),2015,1,206982.4642
Georgia,Highway vehicle-miles traveled (millions),2015,1,118106.5611
Hawaii,Highway vehicle-miles traveled (millions),2015,1,10300.52988
Idaho,Highway vehicle-miles traveled (millions),2015,1,16661.94971
Illinois,Highway vehicle-miles traveled (millions),2015,1,105223.406
Indiana,Highway vehicle-miles traveled (millions),2015,1,78818.67261
Iowa,Highway vehicle-miles traveled (millions),2015,1,33160.97573
Kansas,Highway vehicle-miles traveled (millions),2015,1,31379.12459
Kentucky,Highway vehicle-miles traveled (millions),2015,1,48674.69601
Louisiana,Highway vehicle-miles traveled (millions),2015,1,48180.25257
Maine,Highway vehicle-miles traveled (millions),2015,1,14629.43917
Maryland,Highway vehicle-miles traveled (millions),2015,1,57515.82372
Massachusetts,Highway vehicle-miles traveled (millions),2015,1,59257.48057
Michigan,Highway vehicle-miles traveled (millions),2015,1,97843.1965
Minnesota,Highway vehicle-miles traveled (millions),2015,1,57394.87167
Mississippi,Highway vehicle-miles traveled (millions),2015,1,39890.36248
Missouri,Highway vehicle-miles traveled (millions),2015,1,71917.51859
Montana,Highway vehicle-miles traveled (millions),2015,1,12345.07126
Nebraska,Highway vehicle-miles traveled (millions),2015,1,20100.95861
Nevada,Highway vehicle-miles traveled (millions),2015,1,25925.4421
New Hampshire,Highway vehicle-miles traveled (millions),2015,1,13093.74176
New Jersey,Highway vehicle-miles traveled (millions),2015,1,75393.41931
New Mexico,Highway vehicle-miles traveled (millions),2015,1,27435.41838
New York,Highway vehicle-miles traveled (millions),2015,1,127230.2144
North Carolina,Highway vehicle-miles traveled (millions),2015,1,111878.5688
North Dakota,Highway vehicle-miles traveled (millions),2015,1,10036.21684
Ohio,Highway vehicle-miles traveled (millions),2015,1,113672.5052
Oklahoma,Highway vehicle-miles traveled (millions),2015,1,47713.00021
Oregon,Highway vehicle-miles traveled (millions),2015,1,35998.50454
Pennsylvania,Highway vehicle-miles traveled (millions),2015,1,100945.0602
Puerto Rico,Highway vehicle-miles traveled (millions),2015,1,14564.42564
Rhode Island,Highway vehicle-miles traveled (millions),2015,1,7832.561416
South Carolina,Highway vehicle-miles traveled (millions),2015,1,51726.04848
South Dakota,Highway vehicle-miles traveled (millions),2015,1,9324.353332
Tennessee,Highway vehicle-miles traveled (millions),2015,1,76670.31841
Texas,Highway vehicle-miles traveled (millions),2015,1,258122.3092
United States,Highway vehicle-miles traveled (millions),2015,1,3104405.552
Utah,Highway vehicle-miles traveled (millions),2015,1,29603.66349
Vermont,Highway vehicle-miles traveled (millions),2015,1,7313.841852
Virginia,Highway vehicle-miles traveled (millions),2015,1,82624.52764
Washington,Highway vehicle-miles traveled (millions),2015,1,59652.50424
West Virginia,Highway vehicle-miles traveled (millions),2015,1,19826.64297
Wisconsin,Highway vehicle-miles traveled (millions),2015,1,62073.36822
Wyoming,Highway vehicle-miles traveled (millions),2015,1,9597.036265
Alabama,Highway vehicle-miles traveled (millions),2016,1,69227
Alaska,Highway vehicle-miles traveled (millions),2016,1,5259
Arizona,Highway vehicle-miles traveled (millions),2016,1,65786
Arkansas,Highway vehicle-miles traveled (millions),2016,1,35755
California,Highway vehicle-miles traveled (millions),2016,1,340115
Colorado,Highway vehicle-miles traveled (millions),2016,1,52152
Connecticut,Highway vehicle-miles traveled (millions),2016,1,31639
Delaware,Highway vehicle-miles traveled (millions),2016,1,10178
District of Columbia,Highway vehicle-miles traveled (millions),2016,1,3622
Florida,Highway vehicle-miles traveled (millions),2016,1,215551
Georgia,Highway vehicle-miles traveled (millions),2016,1,122802
Hawaii,Highway vehicle-miles traveled (millions),2016,1,10635
Idaho,Highway vehicle-miles traveled (millions),2016,1,17199
Illinois,Highway vehicle-miles traveled (millions),2016,1,107314
Indiana,Highway vehicle-miles traveled (millions),2016,1,83183
Iowa,Highway vehicle-miles traveled (millions),2016,1,33337
Kansas,Highway vehicle-miles traveled (millions),2016,1,32103
Kentucky,Highway vehicle-miles traveled (millions),2016,1,49313
Louisiana,Highway vehicle-miles traveled (millions),2016,1,49156
Maine,Highway vehicle-miles traveled (millions),2016,1,14838
Maryland,Highway vehicle-miles traveled (millions),2016,1,59137
Massachusetts,Highway vehicle-miles traveled (millions),2016,1,61825
Michigan,Highway vehicle-miles traveled (millions),2016,1,99433
Minnesota,Highway vehicle-miles traveled (millions),2016,1,59029
Mississippi,Highway vehicle-miles traveled (millions),2016,1,40755
Missouri,Highway vehicle-miles traveled (millions),2016,1,74019
Montana,Highway vehicle-miles traveled (millions),2016,1,12599
Nebraska,Highway vehicle-miles traveled (millions),2016,1,20700
Nevada,Highway vehicle-miles traveled (millions),2016,1,26788
New Hampshire,Highway vehicle-miles traveled (millions),2016,1,13513
New Jersey,Highway vehicle-miles traveled (millions),2016,1,77093
New Mexico,Highway vehicle-miles traveled (millions),2016,1,27886
New York,Highway vehicle-miles traveled (millions),2016,1,122930
North Carolina,Highway vehicle-miles traveled (millions),2016,1,116749
North Dakota,Highway vehicle-miles traveled (millions),2016,1,9739
Ohio,Highway vehicle-miles traveled (millions),2016,1,118608
Oklahoma,Highway vehicle-miles traveled (millions),2016,1,49013
Oregon,Highway vehicle-miles traveled (millions),2016,1,36719
Pennsylvania,Highway vehicle-miles traveled (millions),2016,1,101362
Puerto Rico,Highway vehicle-miles traveled (millions),2016,1,14564
Rhode Island,Highway vehicle-miles traveled (millions),2016,1,7927
South Carolina,Highway vehicle-miles traveled (millions),2016,1,54553
South Dakota,Highway vehicle-miles traveled (millions),2016,1,9507
Tennessee,Highway vehicle-miles traveled (millions),2016,1,76884
Texas,Highway vehicle-miles traveled (millions),2016,1,271263
United States,Highway vehicle-miles traveled (millions),2016,1,3188379
Utah,Highway vehicle-miles traveled (millions),2016,1,31449
Vermont,Highway vehicle-miles traveled (millions),2016,1,7382
Virginia,Highway vehicle-miles traveled (millions),2016,1,84463
Washington,Highway vehicle-miles traveled (millions),2016,1,61018
West Virginia,Highway vehicle-miles traveled (millions),2016,1,19539
Wisconsin,Highway vehicle-miles traveled (millions),2016,1,64046
Wyoming,Highway vehicle-miles traveled (millions),2016,1,9323
Alabama,Highway vehicle-miles traveled (millions),2017,1,70677.2482
Alaska,Highway vehicle-miles traveled (millions),2017,1,5518.716307
Arizona,Highway vehicle-miles traveled (millions),2017,1,65069.57894
Arkansas,Highway vehicle-miles traveled (millions),2017,1,36389.32515
California,Highway vehicle-miles traveled (millions),2017,1,343862.1124
Colorado,Highway vehicle-miles traveled (millions),2017,1,53382.10272
Connecticut,Highway vehicle-miles traveled (millions),2017,1,31500.06154
Delaware,Highway vehicle-miles traveled (millions),2017,1,10466.907
District of Columbia,Highway vehicle-miles traveled (millions),2017,1,3715.864585
Florida,Highway vehicle-miles traveled (millions),2017,1,218825.8034
Georgia,Highway vehicle-miles traveled (millions),2017,1,124733.3944
Hawaii,Highway vehicle-miles traveled (millions),2017,1,10748.61947
Idaho,Highway vehicle-miles traveled (millions),2017,1,17300.37194
Illinois,Highway vehicle-miles traveled (millions),2017,1,108011.2553
Indiana,Highway vehicle-miles traveled (millions),2017,1,81751.85677
Iowa,Highway vehicle-miles traveled (millions),2017,1,33482.08769
Kansas,Highway vehicle-miles traveled (millions),2017,1,32258.18896
Kentucky,Highway vehicle-miles traveled (millions),2017,1,49239.3341
Louisiana,Highway vehicle-miles traveled (millions),2017,1,49220.89766
Maine,Highway vehicle-miles traveled (millions),2017,1,14738.11789
Maryland,Highway vehicle-miles traveled (millions),2017,1,60044.56432
Massachusetts,Highway vehicle-miles traveled (millions),2017,1,62660.41137
Michigan,Highway vehicle-miles traveled (millions),2017,1,101757.1987
Minnesota,Highway vehicle-miles traveled (millions),2017,1,59970.85392
Mississippi,Highway vehicle-miles traveled (millions),2017,1,40877.09802
Missouri,Highway vehicle-miles traveled (millions),2017,1,75911.31624
Montana,Highway vehicle-miles traveled (millions),2017,1,12644.67236
Nebraska,Highway vehicle-miles traveled (millions),2017,1,21002.01479
Nevada,Highway vehicle-miles traveled (millions),2017,1,27587.00971
New Hampshire,Highway vehicle-miles traveled (millions),2017,1,13681.37663
New Jersey,Highway vehicle-miles traveled (millions),2017,1,77508.60231
New Mexico,Highway vehicle-miles traveled (millions),2017,1,29680.1674
New York,Highway vehicle-miles traveled (millions),2017,1,123731.84
North Carolina,Highway vehicle-miles traveled (millions),2017,1,119176.3686
North Dakota,Highway vehicle-miles traveled (millions),2017,1,9716.836374
Ohio,Highway vehicle-miles traveled (millions),2017,1,119597.9667
Oklahoma,Highway vehicle-miles traveled (millions),2017,1,49402.2604
Oregon,Highway vehicle-miles traveled (millions),2017,1,36752.88329
Pennsylvania,Highway vehicle-miles traveled (millions),2017,1,101614.0539
Rhode Island,Highway vehicle-miles traveled (millions),2017,1,8000.980444
South Carolina,Highway vehicle-miles traveled (millions),2017,1,55497.23573
South Dakota,Highway vehicle-miles traveled (millions),2017,1,9642.559371
Tennessee,Highway vehicle-miles traveled (millions),2017,1,82253.26397
Texas,Highway vehicle-miles traveled (millions),2017,1,272980.907
Utah,Highway vehicle-miles traveled (millions),2017,1,31475.02571
Vermont,Highway vehicle-miles traveled (millions),2017,1,7424.419886
